x_value,total_1,total_2
0,1000,1000
1,998,1005
2,1001,1002
3,996,997
4,1001,1003
5,999,1003
6,994,998
7,990,995
8,993,998
9,997,995
10,1005,990
11,1012,990
12,1013,989
13,1018,994
14,1012,998
15,1006,996
16,1006,993
17,1013,998
18,1010,994
19,1006,999
20,1006,995
21,1005,991
22,1010,993
23,1007,997
24,1007,999
25,1010,1004
26,1008,1000
27,1007,1003
28,1010,1007
29,1013,1005
30,1020,1004
31,1019,1003
32,1023,998
33,1017,999
34,1014,1003
35,1008,1003
36,1014,999
37,1020,1004
38,1027,1000
39,1034,1002
40,1033,997
41,1041,998
42,1038,1004
43,1035,1010
44,1031,1015
45,1039,1017
46,1041,1014
47,1042,1009
48,1036,1007
49,1037,1005
50,1035,1000
51,1041,1003
52,1035,1007
53,1034,1003
54,1041,1009
55,1044,1005
56,1043,1004
57,1043,1006
58,1039,1003
59,1036,1003
60,1032,1008
61,1038,1003
62,1044,1006
63,1044,1006
64,1049,1012
65,1048,1011
66,1056,1009
67,1061,1013
68,1061,1013
69,1059,1013
70,1060,1015
71,1058,1013
72,1066,1008
73,1068,1011
74,1067,1011
75,1066,1015
76,1061,1017
77,1056,1014
78,1061,1015
79,1068,1017
80,1067,1014
81,1070,1016
82,1078,1018
83,1086,1019
84,1088,1017
85,1095,1016
86,1100,1021
87,1102,1027
88,1100,1024
89,1104,1021
90,1105,1023
91,1106,1028
92,1108,1024
93,1115,1028
94,1122,1028
95,1130,1029
96,1125,1033
97,1126,1028
98,1125,1034
99,1122,1033
100,1122,1035
101,1123,1041
102,1131,1037
103,1133,1039
104,1127,1036
105,1124,1041
106,1131,1037
107,1127,1041
108,1129,1047
109,1137,1048
110,1139,1054
111,1145,1058
112,1143,1061
113,1140,1060
114,1137,1066
115,1141,1067
116,1149,1068
117,1152,1066
118,1160,1072
119,1159,1068
120,1165,1071
121,1173,1066
122,1180,1072
123,1177,1068
124,1183,1071
125,1188,1076
126,1191,1079
127,1198,1074
128,1197,1070
129,1201,1068
130,1201,1063
131,1199,1063
